City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
163,Umm Lajj,SA,60.85,clear sky,25.0213,37.2685,Moon light Furnished Units
167,Itarema,BR,72.97,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
170,Bonthe,SL,78.69,broken clouds,7.5264,-12.505,Bonthe Holiday Village
171,Mulege,MX,66.78,clear sky,26.8833,-111.9833,Casa Granada
172,Sao Felix Do Xingu,BR,71.82,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
181,Bantogon,PH,77.9,overcast clouds,6.5333,124.0333,Kalamansig Greenhome
182,Vicuna,CL,78.76,clear sky,-30.0319,-70.7081,Los Mosaicos
183,Buraydah,SA,50.52,overcast clouds,26.326,43.975,فندق راحة السلام
188,Chipinge,ZW,64.2,light rain,-20.1883,32.6236,Chipinge Breeze Lodge
189,Sao Filipe,CV,71.76,overcast clouds,14.8961,-24.4956,Hotel Xaguate
194,Marakkanam,IN,75.69,overcast clouds,12.2,79.95,Samvasa by the Sea
195,Ixtapa,MX,76.23,broken clouds,20.7,-105.2,Hotel Plaza Providencia
197,Geraldton,AU,72.01,clear sky,-28.7667,114.6,Broadwater Mariner Resort
201,Kruisfontein,ZA,63.88,light rain,-34.0033,24.7314,Oyster Bay House Rental
207,Alenquer,BR,74.89,light rain,-1.9417,-54.7383,Detinha Hotel
211,Portland,US,53.76,broken clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
212,Codrington,AU,64.18,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
214,Liverpool,GB,52.29,broken clouds,53.4106,-2.9779,Premier Inn Liverpool City Centre (Moorfields) hotel
216,Huarmey,PE,71.28,overcast clouds,-10.0681,-78.1522,Hotel Miramar
217,Touros,BR,79.21,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
220,Port Blair,IN,78.75,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
222,Waipawa,NZ,70.43,broken clouds,-41.4122,175.5153,Tora Coastal Walk
224,Tukrah,LY,55.04,scattered clouds,32.5341,20.5791,Lagrota restaurant
226,Mount Gambier,AU,66.11,overcast clouds,-37.8333,140.7667,The Commodore
227,Bathsheba,BB,77.05,scattered clouds,13.2167,-59.5167,Atlantis Hotel
228,Chuy,UY,65.37,scattered clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
230,Namibe,AO,72.32,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
233,Loandjili,CG,76.89,overcast clouds,-4.7561,11.8578,Résidence ARCHANGE
234,Soe,ID,68.07,overcast clouds,-9.8607,124.284,Dena Hotel
235,Seaford,GB,50.38,overcast clouds,50.7714,0.1027,Premier Inn Newhaven hotel
237,Healdsburg,US,69.01,clear sky,38.6105,-122.8692,Best Western Dry Creek Inn
238,Rio Grande,BR,71.94,few clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
239,Matara,LK,73.29,scattered clouds,5.9485,80.5353,Amaloh Boutique Resort
241,Pisco,PE,69.03,few clouds,-13.7,-76.2167,Hotel San Isidro Oficial
242,Mahasamund,IN,52.66,clear sky,21.1,82.1,mauhari bhantha mahasamund
243,Sananduva,BR,61.66,overcast clouds,-27.9497,-51.8067,São José Palace Hotel
247,Coquimbo,CL,65.12,few clouds,-29.9533,-71.3436,Hostel Del Puerto
248,Comodoro Rivadavia,AR,65.01,broken clouds,-45.8667,-67.5,Austral Hotel
249,Kuching,MY,75.42,few clouds,1.55,110.3333,The Ranee Boutique Suites
253,Qui Nhon,VN,70.07,broken clouds,13.7667,109.2333,Hoang Yen Canary Hotel
255,Ahipara,NZ,73.4,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
258,Faya,SA,51.96,overcast clouds,18.3851,42.4509,املاك خالد الشعشوع
259,Rafaela,AR,75.99,clear sky,-31.2503,-61.4867,Parra Hotel & Suites
261,Eirunepe,BR,75.61,moderate rain,-6.6603,-69.8736,Atrás de você
263,Takaka,NZ,71.56,broken clouds,-40.85,172.8,Golden Bay Motels
267,Chauk,MM,61.56,clear sky,20.8833,94.8167,Bo Khin Guest House
269,Ishigaki,JP,66.33,overcast clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
271,Talcahuano,CL,61.32,clear sky,-36.7167,-73.1167,departamento comodo
272,Iquique,CL,69.84,scattered clouds,-20.2208,-70.1431,Backpacker`s Hostel Iquique
273,Chico,US,66.63,overcast clouds,39.7285,-121.8375,Quality Inn Near Chico State
274,Bluff,NZ,59.56,overcast clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
276,Fortuna,US,65.32,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
283,Sinnamary,GF,75.47,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
289,Ribeira Grande,PT,58.71,broken clouds,38.5167,-28.7,Quinta da Meia Eira
290,Kalmunai,LK,74.68,scattered clouds,7.4167,81.8167,VS Villa
292,Tuatapere,NZ,67.82,overcast clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
294,Ambilobe,MG,73.65,overcast clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
295,Taltal,CL,67.78,scattered clouds,-25.4,-70.4833,Residencial Karime
298,Jalu,LY,52.09,clear sky,29.0331,21.5482,صاحبة الفخامة
300,Kollam,IN,78.67,clear sky,8.8833,76.6,Nani Hotels and Resorts
301,Valparaiso,CL,71.24,clear sky,-33.0393,-71.6273,Hotel Ultramar
304,Wanning,CN,65.59,overcast clouds,18.8003,110.3967,Paradise Hotel
305,Itapirapua,BR,71.98,overcast clouds,-15.8233,-50.6133,Hotel Nossa Senhora Aparecida
306,Marsa Matruh,EG,54.18,scattered clouds,31.3525,27.2453,Beau Site
312,Keighley,GB,51.3,broken clouds,53.8679,-1.9066,Dalesgate Hotel
314,Teknaf,BD,57.52,broken clouds,20.8624,92.3058,Forestry Guesthouse
317,Praia,CV,70.34,scattered clouds,14.9215,-23.5087,LT Aparthotel
318,Dakar,SN,70.68,overcast clouds,14.6937,-17.4441,Redface Studios Meublés
320,Vila Franca Do Campo,PT,58.19,scattered clouds,37.7167,-25.4333,Pestana Bahia Praia
321,Saldanha,ZA,63.95,clear sky,-33.0117,17.9442,Blue Bay Lodge
325,Manaure,CO,79.61,scattered clouds,11.7751,-72.4445,Hotel Palaaima
326,San Vicente,AR,67.66,overcast clouds,-26.6167,-54.1333,Complejo Turístico Farelluk
328,Parana,AR,73.45,clear sky,-31.732,-60.5238,Howard Johnson by Wyndham Plaza Hotel Mayorazgo
331,Dunedin,NZ,65.43,overcast clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
333,Ratnagiri,IN,70.99,clear sky,16.9833,73.3,Hotel Landmark
334,Balclutha,NZ,63.61,overcast clouds,-46.2339,169.75,Hotel South Otago
336,Esperance,AU,64.67,clear sky,-33.8667,121.9,Hospitality Esperance
337,Si Satchanalai,TH,68.85,scattered clouds,17.5169,99.7598,Chanalai Resort and Hotel
341,Mahebourg,MU,77.25,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
342,Ouesso,CG,72.52,clear sky,1.6136,16.0517,ABENIE Hotel
343,Lake Charles,US,55.38,clear sky,30.2131,-93.2044,La Quinta Inn & Suites by Wyndham Lake Charles Casino Area
344,Vanimo,PG,78.64,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
347,San Andres,CO,79.86,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
348,Bridlington,GB,51.89,overcast clouds,54.0831,-0.1919,Expanse Bridlington Seafront Hotel
349,Vila Do Maio,CV,70.59,overcast clouds,15.1333,-23.2167,Hotel Marilu
350,Xuddur,SO,68.23,broken clouds,4.1213,43.8894,Banjanay Hotel
351,Fairlie,GB,52.23,overcast clouds,55.756,-4.8556,Brisbane House Hotel
352,Santa Vitoria,BR,73.38,broken clouds,-18.8386,-50.1214,Center Hotel
358,Sao Joao Da Barra,BR,77.11,scattered clouds,-21.6403,-41.0511,Pousada Porto De Canoas
359,Kitui,KE,63.52,broken clouds,-1.367,38.0106,Heritage Bliss Hotel
362,Kotido,UG,75.04,broken clouds,2.9806,34.1331,Loware Joseph Mukasa's Residence
363,Nedjo,ET,57.96,scattered clouds,9.5046,35.5019,Yerosan Hotel
364,Iranshahr,IR,60.04,clear sky,27.2025,60.6848,نیک سرشت
367,Stromness,GB,53.85,light rain,58.965,-3.296,The Old Smokery
371,Kourou,GF,75.11,scattered clouds,5.1552,-52.6478,Lodge TAKINI4 Guesthouse KOUROU FGU
375,Galesong,ID,77.94,overcast clouds,-5.3166,119.3661,Sapriadi Appy
377,Pimentel,PE,73.69,clear sky,-6.8367,-79.9342,Casona Del Muelle
378,Coihaique,CL,68.58,overcast clouds,-45.5752,-72.0662,Diego De Almagro Coyhaique
379,Wamba,NG,72.84,broken clouds,8.9333,8.6,Roma Zee Guest House Annex
380,Port Lincoln,AU,67.44,overcast clouds,-34.7333,135.8667,Port Lincoln Hotel
381,Cienfuegos,CU,72.41,scattered clouds,22.1461,-80.4356,Casa Claumar B2BPay
382,Altadena,US,72.39,clear sky,34.1897,-118.1312,The Westin Pasadena
384,Asfi,MA,59.56,broken clouds,32.2994,-9.2372,Hôtel Abda
388,Jardim,BR,74.12,light rain,-21.4803,-56.1381,Estancia Hotel - Jardim MS
