City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Songjianghe,CN,2022-01-17 21:38:27,42.1859,127.479,-11.16,96,14,3.49
67,Jamestown,US,2022-01-17 21:37:24,42.097,-79.2353,26.19,71,100,8.01
68,Barra Do Garcas,BR,2022-01-17 21:38:27,-15.89,-52.2567,79.02,79,35,5.39
69,Vila Do Maio,CV,2022-01-17 21:38:28,15.1333,-23.2167,72.39,71,0,12.77
70,Socol,RO,2022-01-17 21:38:28,44.8608,21.3703,38.17,80,99,1.99
71,Ouadda,CF,2022-01-17 21:38:28,8.0777,22.4007,71.53,25,73,3.29
72,Pag,HR,2022-01-17 21:38:28,44.445,15.0575,32.58,66,47,6.91
73,Lorengau,PG,2022-01-17 21:38:29,-2.0226,147.2712,81.84,82,100,8.57
74,Itaueira,BR,2022-01-17 21:38:29,-7.6033,-43.0256,77.74,70,33,3.6
75,Khatanga,RU,2022-01-17 21:34:59,71.9667,102.5,-10.75,91,58,9.24
76,Mwinilunga,ZM,2022-01-17 21:38:29,-11.7358,24.4293,62.91,96,100,2.75
77,Yellowknife,CA,2022-01-17 21:36:36,62.456,-114.3525,-20.7,75,20,8.05
78,Yerbogachen,RU,2022-01-17 21:38:30,61.2767,108.0108,-14.15,89,69,4.72
79,Pitimbu,BR,2022-01-17 21:38:30,-7.4706,-34.8086,81.19,68,70,11.25
80,Tiksi,RU,2022-01-17 21:38:30,71.6872,128.8694,-23.33,97,44,7.94
81,Lata,PT,2022-01-17 21:38:30,40.1629,-8.3327,52.81,72,81,3.71
82,Bengkulu,ID,2022-01-17 21:38:31,-3.8004,102.2655,74.73,91,71,4.81
83,Chokurdakh,RU,2022-01-17 21:38:31,70.6333,147.9167,-44.16,100,83,5.77
84,Dalbandin,PK,2022-01-17 21:38:31,28.8947,64.4101,57.51,71,0,3.67
85,Atambua,ID,2022-01-17 21:38:32,-9.1061,124.8925,73.17,92,100,2.8
86,Cabo San Lucas,MX,2022-01-17 21:37:01,22.8909,-109.9124,87.1,50,20,8.05
87,Qaanaaq,GL,2022-01-17 21:38:32,77.484,-69.3632,-15.88,58,39,8.32
88,Reconquista,AR,2022-01-17 21:38:32,-29.15,-59.65,108.36,17,13,12.77
89,Tasiilaq,GL,2022-01-17 21:36:18,65.6145,-37.6368,12.36,90,72,8.03
90,Jibuti,DJ,2022-01-17 21:38:33,11.5,42.5,72.82,75,45,12.55
91,Mount Gambier,AU,2022-01-17 21:38:33,-37.8333,140.7667,57.11,77,100,6.91
92,Puerto Lleras,CO,2022-01-17 21:39:33,3.0223,-73.4044,86.36,48,99,6.51
93,Pilar,BR,2022-01-17 21:39:34,-9.5972,-35.9567,82.33,73,2,5.17
94,Cherskiy,RU,2022-01-17 21:39:34,68.75,161.3,-45.9,100,57,3.36
95,Minakuchi,JP,2022-01-17 21:39:34,34.9667,136.1667,37.2,91,76,9.28
96,Guerrero Negro,MX,2022-01-17 21:39:34,27.9769,-114.0611,69.91,59,10,12.03
